科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生
760304,社會福利學系,D 日,D 博士,2,1,1,3,1,1,1,0,1,3,0,8,1,0,1,0
760304,社會福利學系,D 日,M 碩士,7,14,5,20,7,16,3,6,0,0,0,0,0,0,1,1
760304,社會福利學系,D 日,B 學士,49,118,54,116,50,123,47,114,0,0,0,0,0,0,13,12
760307,社會工作與兒童少年福利學系,D 日,M 碩士,1,17,1,16,0,8,1,13,0,0,0,0,0,0,0,0
760307,社會工作與兒童少年福利學系,D 日,B 學士,27,97,21,104,36,122,26,100,0,0,0,0,0,0,3,7
760307,社會工作與兒童少年福利學系,N 職,M 碩士,1,11,2,7,2,7,2,9,0,0,0,0,0,0,0,0
760308,健康照顧社會工作系,D 日,B 學士,25,126,33,137,22,66,6,32,0,0,0,0,0,0,0,0
760308,健康照顧社會工作系,N 修,B 學士,10,12,6,4,4,17,2,10,0,0,0,0,0,0,0,0
760308,健康照顧社會工作系,N 修,C 學士,0,0,0,0,22,93,14,50,0,0,0,0,0,0,1,2
760309,社會福利與社會工作學系,D 日,M 碩士,6,12,2,9,3,15,0,0,0,0,0,0,0,0,3,8
760309,社會福利與社會工作學系,D 日,B 學士,23,54,24,60,21,56,20,39,0,0,0,0,0,0,5,3
760309,社會福利與社會工作學系,N 職,M 碩士,8,14,4,21,3,9,0,0,0,0,0,0,0,0,7,16
760309,社會福利與社會工作學系,N 修,C 學士,0,0,0,0,4,29,6,23,0,0,0,0,0,0,0,0
760309,社會福利與社會工作學系,P 進,B 學士,13,15,7,21,9,17,14,13,0,0,0,0,0,0,3,7
760310,社會工作與服務管理系,D 日,B 學士,13,20,11,25,15,21,7,28,0,0,0,0,0,0,1,0
760310,社會工作與服務管理系,D 日,C 學士,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
760310,社會工作與服務管理系,N 修,B 學士,5,18,7,18,9,18,3,17,0,0,0,0,0,0,0,0
760310,社會工作與服務管理系,N 修,C 學士,0,0,0,0,32,98,12,68,0,0,0,0,0,0,1,3
760401,(嬰)幼兒保育(技術)學系,D 日,M 碩士,1,47,4,24,0,16,2,5,0,0,0,0,0,0,3,30
760401,(嬰)幼兒保育(技術)學系,D 日,B 學士,55,1429,36,1322,41,1400,41,1326,0,0,0,0,0,0,10,175
760401,(嬰)幼兒保育(技術)學系,D 日,C 學士,0,0,0,0,5,148,1,134,0,0,0,0,0,0,0,4
760401,(嬰)幼兒保育科,D 日,2 二專,1,46,0,48,0,0,0,0,0,0,0,0,0,0,0,4
760401,(嬰)幼兒保育科,D 日,5 五專,27,536,26,622,29,599,15,461,15,490,0,0,0,0,2,51
760401,(嬰)幼兒保育(技術)學系,N 職,M 碩士,0,18,0,22,0,0,0,0,0,0,0,0,0,0,1,30
760401,(嬰)幼兒保育(技術)學系,N 修,B 學士,20,247,13,260,17,300,30,311,0,0,0,0,0,0,11,101
760401,(嬰)幼兒保育(技術)學系,N 修,C 學士,0,0,0,0,49,859,17,361,0,0,0,0,0,0,0,16
760401,(嬰)幼兒保育科,N 修,2 二專,4,256,2,167,0,0,0,0,0,0,0,0,0,0,1,7
760402,兒童發展研究所,D 日,M 碩士,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1
760403,兒童與家庭(服務)學系,D 日,M 碩士,2,29,3,25,0,11,2,19,0,0,0,0,0,0,4,14
760403,兒童與家庭(服務)學系,D 日,B 學士,14,163,15,171,15,183,18,175,0,0,0,0,0,0,6,33
760403,兒童與家庭(服務)學系,D 日,C 學士,0,0,0,0,0,0,9,102,0,0,0,0,0,0,0,0
760403,兒童與家庭(服務)學系,N 職,M 碩士,2,38,2,29,1,14,0,10,0,0,0,0,0,0,3,17
